completion,prompt,use
"11月3日から新発売のパンのご紹介です

◆パン・オ・プリュノ◆
自家製レーズン酵母に漬けたプルーン、イチジクとクルミを組み合わせました。
フルーツの甘みとクルミの香ばしさの相性が良いです
1個　1,728円(税込)
ハーフ　918円(税込)

ぜひ、ご賞味ください！",MEO対策を考慮した投稿文を作成してください。日本語で、100文字以上200文字以内の文章にしてください。パンやベーカリーの販促に関する具体的なドメイン知識を活かして、新商品やその特徴を魅力的に紹介してください。例えば、製品名、使用している食材、価格、味の特徴などを含めてください。,True
"11月が終わると、今年も残すところ12月のみ。12月の最大のイベントはクリスマス。
4℃ブライダル銀座本店ではショップの外観を25日のクリスマスまで、クリスマス仕様にデコレーション。
銀座中央通りでもひときわ目立つ演出となっております。
銀座へお立ち寄りの際は、是非、4℃ブライダル銀座本店へお越しください。
４℃ブライダル 銀座本店へのアクセス

有楽町線 銀座一丁目駅 8番口から徒歩1分
銀座線　日比谷線　丸ノ内線
銀座駅 A13口から徒歩3分
日比谷線 東銀座駅 A8口から徒歩6分",,False
"12/5～数量限定で『国産牛焼きすき』が登場🥩✨

ランチやディナーにて対象の焼肉食べ放題コースご注文で『国産牛焼きすき』がご注文可能です❗
国産牛を“すき焼き仕立て”でご堪能ください🤗🥢

＜実施期間＞
12月5日（木）～無くなり次第終了

＜対象コース＞
じゅうカルコース・国産牛＆みずじコース・牛タン＆黒毛和牛コース
※[宴プラン]スタンダード、[宴プラン]プレミアムも対象です。

＜対象店舗＞
じゅうじゅうカルビ全店

＜注意事項＞
※お肉はよく焼いてお召し上がりください。
※写真はイメージです。実物の形状等は仕入れ等の状況により異なる場合がございます。
※仕入・販売状況により、予告なく販売中止する場合がございます。

ぜひこの機会にじゅうじゅうカルビをご利用ください😌✨",,False
"12日～21日の10日間、なんとアルコールの飲み放題が550円～に！
じゅうじゅうカルビで乾杯🍻しませんか？

人気の氷結やハイボールなどの29品以上飲めるライトコースは通常1,078円が528円引きの550円！
ライトコースにプラスで生ビール、瓶ビールも飲めるスペシャルコースは通常1,539円が439円引きの1,100円に！

チャミスルや梅酒はロックで注文をすることができるので、一緒にドリンクバーを注文してお好きなソフトドリンクでオリジナルカクテルを作るのもオススメですよ😉👌🏻

20歳いじょうなら、どなたでもご注文いただけますので仲間との集まりにも最適です🎊
ぜひこの期間はじゅうじゅうカルビでお肉とお酒で、楽しい時間を過ごしてくださいね🤭✨

※表記はすべて税込価格です",日本で飲食店のMEO（Map Engine Optimization）対策を考慮したSNS投稿文を作成してください。内容は、アルコール飲み放題のキャンペーン情報で、期間は12日～21日の10日間です。550円から楽しめる飲み放題メニューについて言及し、ライトコースやスペシャルコースの価格や内容を明記してください。加えて、飲み放題メニューにはどんなドリンクが含まれているかの説明もお願いします。20歳以上であれば誰でも注文できることや仲間との集まりに最適であることも伝えてください。文章は日本語で、100文字以上200文字以内にしてください。特に、飲み物や飲み放題に関連する情報が豊富であることを強調してください。,True
"ラグナガーデンホテル13階にある中国料理「壺中天」にて、2月限定でランチ営業を行っております。

ホテル内レストランでは唯一スタジアムビューを望むことのできる開放的な空間であり、絶品の中華料理をお楽しみいただけます。
そのため人気が高く埋まりやすくなっておりますので、ぜひお早めにご予約くださいませ。皆さまのご来店、ぜひお待ちしております。

ランチ営業時間：11：30～14：30（最終入店14：00）
料金：ランチセット￥2,500/中華幕の内弁当￥2,000/他単品もございます。
営業日：2月19日、20日、22日、23日、24日",,False
"ラグナガーデンホテル13階にある中国料理「壺中天」では、2月限定でランチ営業を行います。　ホテル内レストランでは唯一スタジアムビューを望むことのできる開放的な空間であり、絶品の中華料理をお楽しみいただけます。
そのため人気が高く埋まりやすくなっておりますので、ぜひお早めにご予約くださいませ。皆さまのご来店、ぜひお待ちしております。
-------------------------
ラグナガーデンホテルは、那覇空港から車で約30分、公共交通機関をご利用の場合は約50分と、アクセスの良い宜野湾に位置しております。沖縄本島の中部に位置するため、主要観光地への移動も便利で、観光の拠点として最適なロケーションです。特に、お子様が楽しめる施設も充実しているため、多くのご家族様にご利用いただいております。ぜひ、ラグナガーデンホテルで心温まるひとときをお過ごしくださいませ",,False
"ラグナガーデンホテル13階に位置するレストラン「中国料理 壺中天」では、宜野湾市の美しい青い海を望む景色とともに、モダンチャイニーズの雰囲気の中で本格的な四川料理をお楽しみいただけます。
眼下に広がる青い海が、刺激的な味わいを一層マイルドに引き立て、贅沢なひとときをお届け。
現在はディナーのみ営業中。
17時30分から21時までご利用いただけます。
※個室のご用意もございますので、ご利用の際は、コース料理をご注文の上、3日前までにご予約ください。
また、ご利用時間は2時間までとさせていただいております。

みなさまのご来店、お待ちしております。","以下の条件に基づいて日本語でSNS投稿文を作成してください。 
- MEO対策を考慮し、検索結果に引っかかりやすい言葉を使用すること。
- 文字数は100文字以上200文字以内にしてください。
- 具体的なドメイン知識として、中国料理とその背景、レストランの場所（ラグナガーデンホテル13階）、提供している料理のスタイル（本格的な四川料理）、利用時間などを含めること。

この文章は宜野湾市にあるレストラン「中国料理 壺中天」の特徴を説明し、訪れることを促す内容にしてください。",True
"ラグナガーデンホテル13階バーラウンジ「パドル」にて期間限定開催中！

当ホテル1階「レストランパセオガーデン」のディナーで提供している‟ビストロラグナ”から厳選されたフードと、ワインやノンアルコールカクテルなどのドリンクをご用意しております。
また、もっと満喫したい方には3種類のフードと、ワイン又はスパークリングワインから1種類をお選びいただける‟コンボメニュー”をオススメしております！
是非この機会に、ラグナガーデンホテルで贅沢で優雅な時間をご堪能ください！

営業時間：19：00～21：00（L.O.20:30）
料金：ドリンク・フード全品￥500/コンボメニュー￥3,500

※メニューは詳細の「メニューはコチラから」をご確認ください。",,False
"18種のカードから気になる3枚を選んで、カードの裏に描かれたジュエリーを、自由にご試着。
新しいジュエリー・新しい自分と出会える体験を全国主要店舗にて実施しています。

期間：2024年11月25日（月）～12月6日（金）",,False
"フラッペ ✕ ソフトクリーム ✕ シェイク
1度に3回楽しめるフラソフティーノⓇ🍨

①まずはフラッペで冷や～涼し～✨
②次にソフトクリームでまろやか～🍦
③最後は混ぜ混ぜシェイク🎵
新感覚のアイスイーツです！

苺、ブルーハワイ、マンゴー、白桃、宇治抹茶白玉の5つの味！
みんなでお好みの味を食べて「美味ティーノ」😍

7/11(木)より販売開始いたします！
ぜひご賞味ください🎵

＜販売期間＞
2024年7月11日（木）～9月4日（水）
※仕入・販売状況により、予告なく販売中止する場合がございます。

＜販売店舗＞
トマト＆オニオン全店",MEO対策を考慮し、フラッペ、ソフトクリーム、シェイクの魅力を引き出した日本語の投稿文を作成してください。文字数は100文字以上200文字以内で、具体的には冷たくて美味しいアイススイーツの特徴や販売開始日、味の種類、販売店舗の情報を含めるようにしてください。,True
".

1月18日(木)より
いちごフェアを開催いたします🍓✨

たくさん楽しんでいただけるように
さまざまな種類をご用意いたしました🎉

🍓いちご×いちご🍓
とにかくいちごを堪能したい！
そんな方におすすめです😊
たっぷりのいちごを楽しむことができます◎

🍓いちスイーツご×抹茶🍵
いちごの甘酸っぱさと抹茶のほろ苦の
相性はバツグン😍！
ぜひ一度お試しください👌🏻

🍓いちご×チョコレート🍫
ザ・王道の組み合わせ👑
これを食べれば幸せ気分になれるかも...😌
奏でるハーモニーをお楽しみください♩

【販売期間】
2024年1月18日(木)～5月15日(水)

 トマオニ  ハンバーグ  弾丸ハンバーグ
 ステーキ  魅惑の果実  いちご
 いちごフェア  いちご祭り 
 チョコレートスイーツ  抹茶スイーツ 
 バレンタイン",,False
"1月18日(木)より、いちごフェアを開催いたします🍓✨

たくさん楽しんでいただけるように、さまざまな種類をご用意いたしました🎉

🍓いちご×いちご🍓
とにかくいちごを堪能したい！そんな方におすすめです😊
たっぷりのいちごを楽しむことができます◎

🍓いちご×抹茶🍵
いちごの甘酸っぱさと抹茶のほろ苦の相性はバツグン😍！
ぜひ一度お試しください👌🏻

🍓いちご×チョコレート🍫
ザ・王道の組み合わせ👑
これを食べれば幸せ気分になれるかも...😌
奏でるハーモニーをお楽しみください♩

【販売期間】
2024年1月18日(木)～5月15日(水)

詳細は下記よりご確認くださいませ！",,False
"1月30日(木)より海鮮グルメフェアを開催いたします！

お肉だけじゃない❗豪華な海の幸が勢揃い❗🌊
肉汁溢れる焼肉と、旨みが凝縮された海鮮のハーモニーで至福のひとときを🤗

ぜひ、じゅうじゅうカルビで“海鮮グルメフェア”をご堪能ください😋✨

＜販売期間＞
2025年1月30日(木)～4月9日(水)
※仕入・販売状況により、予告なく販売中止する場合がございます。

＜対象コース＞
大感激コース、厳選焼肉＆塊肉コース、国産牛＆みすじコース、牛タンプレミアムコース、学生限定コース

＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊
焼肉食べ放題「じゅうじゅうカルビ」
じゅうじゅうカルビは、ランチやディナーで楽しめる焼肉食べ放題のレストランです。
お値打ち価格で質の高いお肉を提供し、タッチパネルで簡単に注文、スタッフが出来立てのお料理をお席までお届けします。
飲食店として地域の皆さまに愛され、美味しい焼肉食べ放題を安心して楽しめる環境をこれからも追求してまいります。",,False
"ラグナガーデンホテル1階和流ダイニング「あんのん」の個室のご案内です✨

最大36名様まで対応可能なスペースと、最大8人まで対応可能なスペースがございます。団体様でのお食事や還暦や古希のお祝いなど、様々な用途でご利用いただけます。

※個室は大人12名様～36名様まで対応可能（分割可）/大人8名様まで対応可能（掘りごたつスタイル）のお部屋です。
※個室のご利用は3日前までに事前予約の上、コース料理のご利用にて承ります。
※個室のご利用時間は2時間までとさせていただきます。

只今、当店では平日オーダー制の天婦羅食べ放題ランチブッフェを行っております。
平日料金：大人￥2,500/子供￥1,250/幼児￥600
休日料金：大人￥3,000/子供￥1,500/幼児￥600
※天婦羅食べ放題は平日のみとなります。

沖縄での特別なお時間を、是非当ホテルでお過ごしください。

⇩以下詳細をご確認ください⇩",,False
"ラグナガーデンホテル1階にございます、和流ダイニングあんのんでは、土日・祝日限定で「和食ランチバイキング」を開催しております。
贅沢なヌーベル琉球キュイジーヌをお一人様 3,000円でお楽しみいただけます。
琉と和の繊細な融合を堪能でき、お子様から大人まで幅広くご満足いただけます。
ぜひみなさまのご来館、心よりお待ちしております！
--------------------------------------------------------------
ラグナガーデンホテルは、那覇空港から車で約30分、公共交通機関をご利用の場合は約48分と、アクセスの良い宜野湾に位置しております。沖縄本島の中部に位置するため、主要観光地への移動も便利で、観光の拠点として最適なロケーションです。
当ホテルでは、屋内外のプールや多彩な飲食施設、ショップなどをご用意しており、ご家族連れのお客様にもご満足いただける設備やサービスがございます。特に、お子様が楽しめる施設も充実しているため、多くのご家族様にご利用いただいております。
ぜひ、ラグナガーデンホテルで心温まるひとときをお過ごしくださいませ",,False
"ニセコノーザンリゾートアンヌプリ1階「フォレスターラウンジ」に新メニューが加わりました！

小腹がすいた時間に食べたくなるサイズのたこ焼きが、新メニューとして登場しております。
ふわふわの鰹節が踊る、あつあつホカホカのたこ焼きは、ひと口頬張れば中からとろ～り熱々の生地が広がり、やみつきになる美味しさ。ぜひ一度 ご賞味くださいませ!

(フード提供時間は限られておりますので、その時間内での提供となりますので、お求めの際はお時間にお気を付けくださいませ⚠️)
--------------------------------
フォレスターラウンジ
新メニュー提供時間：10:00～14:00
料金：1皿7個入り￥700
--------------------------------
⇩詳細はこちらから⇩",ニセコノーザンリゾートアンヌプリの1階にあるフォレスターラウンジでは、新たに小腹を満たすサイズのたこ焼きがメニューに加わりました！ふわふわの鰹節が乗ったアツアツのたこ焼きは、一口でとろ～り熱々の生地が楽しめ、食べるとやみつきになる美味しさです。提供時間は10:00～14:00と限られているので、お求めの際はお時間にご注意ください。お一皿7個入りで￥700です。ぜひご賞味ください！ #ニセコ #グルメ #カフェ #たこ焼き #フォレスターラウンジ,True
"ラグナガーデンホテル1階ラウンジにて期間限定開催中！

当ホテル1階「レストランパセオガーデン」のディナーで提供している‟ビストロラグナ”から厳選されたフードと、ワインやノンアルコールカクテルなどのドリンクをご用意しております。
また、もっと満喫したい方には3種類のフードと、ワイン又はスパークリングワインから1種類をお選びいただける‟コンボメニュー”をオススメしております！
是非この機会に、ラグナガーデンホテルで贅沢で優雅な時間をご堪能ください！

営業時間：15：00～20：00（L.O.19:30）
料金：ドリンク・フード全品￥500/コンボメニュー￥3,500

※メニューは詳細の「メニューはコチラから」をご確認ください。",「ラグナガーデンホテル」のMEO対策を考慮し、以下の要素を含む日本語の投稿文を作成してください。内容には、1階ラウンジの期間限定ディナー提供（ビストロラグナ）のフードとドリンクの概要、特にコンボメニューの紹介、営業時間、料金を記載します。文字数は100文字以上200文字以内でお願いします。読者に贅沢で優雅な体験を提供していることを強調し、興味を持たせるような表現を使用してください。,True
"ラグナガーデンホテル1階レストラン「パセオガーデン」にてランチブッフェ開催中！

冬の欧風ダイニング＆四川中華ランチブッフェの休日スペシャルメニューとして、
・ジャンボ海老フライ　自家製タルタルソース
・ローストビーフ　マッシュポテト添え
・ビーフブレゼ　ブルギニ風
の3品が登場してます！

是非当ホテルでランチブッフェをお楽しみください。ご来館をお待ちしております。

レストラン「パセオガーデン」
営業時間：11:30～14:00（土日祝日～14:30）
平日料金：大人\2,500/子供\1,250/幼児\600
休日料金：大人\3,000/子供\1,500/幼児\600

⇩詳細はコチラです⇩",,False
"2022年10月8日～なくなり次第終了、期間中「じゅうじゅうカルビ」にご来店のお客様に1組1枚スクラッチくじをプレゼントします💰。
創業祭ならではのスクラッチくじで、お得な割引券をゲットしましょう☺☺！！
特賞が当たれば、なんと次回使える５０％OFF券に！！！😲
じゅうじゅうカルビ全店で実施しておりますので、お近くのじゅうじゅうカルビ🍖へぜひお越しください。
※クーポン使用期限：2022年12月31日（土）",,False
"2022年11月1日~2023年1月11日まで✨
チョコとピスタチオの甘い誘惑💖「ピスタチオ＆チョコデザートフェア」を開催いたします✨
濃厚なチョコと、優しくほのかな香りで上品な味わいのピスタチオアイスがお楽しみ頂けます♪


「チョコとピスタチオの贅沢パフェ」は濃厚なチョコと上品なピスタチオアイスが一緒にとろけあい、贅沢気分を味わえます😘
下にはフランボワーズソースが入っており、甘酸っぱくサッパリした味もお楽しみ頂けます✨

「”フランス産”フォンダンショコラのピスタチオアイス添え」はリッチな深い味わいで、中からとろーりチョコソースがあふれ出します🍫
暖かい温かいフォンダンショコラと冷たいピスタチオアイスとのハーモニーをお楽しみください😋

食後にもカフェタイムにも贅沢デザートをご堪能ください✨

■アメリカンダイニング 「トマト＆オニオン」
トマト＆オニオンは、美味しいハンバーグが食べられるハンバーグレストランです。お店はアーリーアメリカン調で、あたたかく家庭的なイメージを大切にしています。ステーキやハンバーグは美味しく召し上がって頂くため、アツアツの鉄板で提供するスタイルをとっています。",,False
"2022年11月24日(木)から2023年3月15日（水）まで✨
「大海老グリル」「広島県産牡蠣」「厚切り赤身ステーキ」を使用した『冬の贅沢ごちそうフェア』を開催いたします🥳
クリスマスや年末の集まり、お正月やお祝い事♪
どんなシーンにもピッタリ合う、そんなとっておきのごちそうを是非ご賞味ください😘

有頭大海老のグリルはトマオニ史上最長(約18センチ)！🦐
ぷりっぷり肉厚で食べ応え抜群😋

広島県産大粒牡蠣フライは去年も大好評✨
外はサクサク、中はホクホク♪
クリーミーでジューシーな味わいです✨

厚切り赤身ステーキは赤身本来の旨みが楽しめ、程よい歯ごたえ✨
いくら食べても飽きのこない味わいです😍

冬のごちそうをハンバーグやカットステーキとのコンビメニューでお召し上がりください😘

■アメリカンダイニング「トマト＆オニオン」は、美味しいハンバーグとデザートが食べられるカフェ
＆ハンバーグレストランです。ステーキやハンバーグは、アツアツで鉄板で提供するスタイル。
デザートメニューも充実しておりカフェ利用にも◎。皆様のご来店をお待ちしております♪","次の内容を含む投稿文を作成してください。
- MEO対策を考慮した、注目を集める誘導文
- クリスマスや年末の特別なシーンに合わせた料理を紹介
- 日本語で表現すること
- 100文字以上200文字以内で仕上げること
- ハンバーグやステーキの魅力も伝わるように、具体的な情報を交えること

例: 「2023年冬の贅沢ごちそうフェア開催中！美味しい大海老や広島県産牡蠣、厚切り赤身ステーキを是非味わってみて♪クリスマスやお祝い事にも最適なメニューです！当店はハンバーグやデザートも充実しています。皆様のご来店をお待ちしております！」",True
"2022年12月8日(木)から2023年3月8日(水)まで✨
「北海道名物ラムジンギスカン」を始めとする数々の北海道グルメを堪能できる【美味しい北海道フェア】を開催いたします🥳

今回のフェアでは、『国産牛＆ミスジ食べ放題コース』『フルコース』の食べ放題メニューに「北海道名物ラムジンギスカン」が登場🍖
さらに、「北海道産豚ロース」で十勝風豚丼作りをお楽しみいただける他、「キタアカリの塩バター焼き」「コーンたっぷりフライ」「カルボナーラ風リゾット」「札幌味噌ラーメン」など北海道メニューが多数登場いたします😋こちらは、『大感激コース』『国産牛＆ミスジ食べ放題コース』『フルコース』をお選びいただくとご注文いただけます。今フェアで登場する北海道グルメを食べ放題で、ぜひお楽しみください🙌✨

また、冬限定ランチメニューの『“選べる逸品”と焼肉ランチ』も登場✨
”選べる逸品メニューには北海道産パルメザンチーズで仕上げる「石焼カルボナーラ風リゾット」、北海道の代表「札幌味噌ラーメン」の２種類が新登場😋
寒い日にぴったり♪お得に贅沢ランチで温まってくださいね😘

■コスパ最強焼肉食べ放題「じゅうじゅうカルビ」
じゅうじゅうカルビは気軽に焼肉をお楽しみいただける焼肉食べ放題のお店です。
お肉はもちろん、冷麺やビビンパなどのサイドメニューやデザートメニューも充実しています。
ランチのお得な食べ放題や季節限定ランチメニューも取り揃え、ランチタイムにも◎
ご家族、ご友人と是非ご来店ください！",,False
"2022年9月1日(木)から2022年10月31日（月）まで“秋の贅沢“国産ピオーネのぶどうフェアを開催いたします🍇🍇

また、“秋の贅沢“国産ピオーネのぶどうフェアではまるでもぎたてのようなフレッシュな国産ピオーネをたっぷり使用し、甘酸っぱく爽快な香りをおたのしみいただけます😍
秋を感じる贅沢パフェで”優雅なひととき”をお過ごしください✨",,False
"2022年9月1日(木)から2022年10月31日（月）まで、秋限定「チーズINハンバーグフェア」を開催します🧀🧀

今回の秋フェアは、チーズをたっぷり使用したハンバーグやパスタ、コンビメニューが新登場します🙌

特にオススメは、3種類のチーズを使用した、「”濃厚”クリームチーズINハンバーグ～ON THE CHEESE～」です✨
その他にも「”濃厚”クリームチーズINハンバーグ＆弾丸ハンバーグ食べ比べ」や、「”トリュフ香る”国産黒あわび茸と若鳥のクリームパスタ」、まさに秋のご馳走♪
「”濃厚”クリームチーズINハンバーグ＆有頭海老フライと帆立貝柱のグリルセット」など、食欲の秋にピッタリな”濃厚”チーズフェア🧀

ぜひご堪能ください👍","秋の特別メニューとして、チーズをふんだんに使用したハンバーグフェアについてのSNS投稿文を作成してください。内容には、以下のポイントを盛り込んでください。
- 開催期間は2022年9月1日から10月31日までであること。
- 新登場のメニューや特にオススメの料理について詳しく説明すること。
- 秋にぴったりの食材を強調し、食欲をそそる表現を使用すること。
- MEO対策を考慮し、関連するキーワードを含めてください。
- 文章は日本語で、100文字以上200文字以内であること。",True
